area,verdict,signal,passRatio,blockers,requiredAction
architecture_review,review,"architecture_freeze_review_required; structurally ready yes, independent review accepted no.",0.33,,Collect accepted engineering/interface/requirement review evidence before procurement use.
bom_evidence_trace,blocked,"0/12 critical rows production-eligible; 12 critical unsourced, 0 protocol-only, 0 source-reference blocked.",0,structure_containment_wing_primary_structure_high_aspect_ratio_wing_structure: Collect admissible source evidence for this critical line before BoM can pass. energy_harvesting_solar_skin_array_solar_cell_array: Collect admissible source evidence for this critical line before BoM can pass. energy_harvesting_mppt_conversion_mppt_power_tracker: Collect admissible source evidence for this critical line before BoM can pass. energy_storage_source_stratospheric_battery_pack_stratospheric_battery_pack: Collect admissible source evidence for this critical line before BoM can pass. actuation_kinematics_electric_propulsion_pods_electric_propulsion_pod: Collect admissible source evidence for this critical line before BoM can pass. control_compute_communication_flight_control_computer_flight_control_computer: Collect admissible source evidence for this critical line before BoM can pass. control_compute_communication_ground_command_link_ground_control_link: Collect admissible source evidence for this critical line before BoM can pass. sensing_instrumentation_navigation_suite_gnss_ins_navigation_unit: Collect admissible source evidence for this critical line before BoM can pass. payload_communication_payload_radio_stratospheric_communications_payload: Collect admissible source evidence for this critical line before BoM can pass. payload_communication_antenna_aperture_payload_antenna_array: Collect admissible source evidence for this critical line before BoM can pass. environmental_interface_thermal_protection_thermal_insulation_blanket: Collect admissible source evidence for this critical line before BoM can pass. safety_protection_abort_recovery_recovery_parachute_system: Collect admissible source evidence for this critical line before BoM can pass.,Collect production-quality source evidence for critical BoM rows before procurement use.
sourcing_batch_closure,blocked,"12 procurement-blocking closure row(s); 12 active sourcing row(s), 120 deferred row(s).",0.9091,bom-close:actuation_kinematics_electric_propulsion_pods_electric_propulsion_pod: Collect admissible source evidence for this critical line before BoM can pass. bom-close:control_compute_communication_flight_control_computer_flight_control_computer: Collect admissible source evidence for this critical line before BoM can pass. bom-close:control_compute_communication_ground_command_link_ground_control_link: Collect admissible source evidence for this critical line before BoM can pass. bom-close:energy_harvesting_mppt_conversion_mppt_power_tracker: Collect admissible source evidence for this critical line before BoM can pass. bom-close:energy_harvesting_solar_skin_array_solar_cell_array: Collect admissible source evidence for this critical line before BoM can pass. bom-close:energy_storage_source_stratospheric_battery_pack_stratospheric_battery_pack: Collect admissible source evidence for this critical line before BoM can pass. bom-close:environmental_interface_thermal_protection_thermal_insulation_blanket: Collect admissible source evidence for this critical line before BoM can pass. bom-close:payload_communication_antenna_aperture_payload_antenna_array: Collect admissible source evidence for this critical line before BoM can pass. bom-close:payload_communication_payload_radio_stratospheric_communications_payload: Collect admissible source evidence for this critical line before BoM can pass. bom-close:safety_protection_abort_recovery_recovery_parachute_system: Collect admissible source evidence for this critical line before BoM can pass. bom-close:sensing_instrumentation_navigation_suite_gnss_ins_navigation_unit: Collect admissible source evidence for this critical line before BoM can pass. bom-close:structure_containment_wing_primary_structure_high_aspect_ratio_wing_structure: Collect admissible source evidence for this critical line before BoM can pass.,Work the active sourcing batches until procurement-blocking closure rows are closed.
source_reference_quality,blocked,"no_sourcing_evidence; 0/0 source-reference row(s) pass; 0 protocol, 0 placeholder.",0,,Admit production source evidence before procurement readiness can start.
evidence_authenticity,blocked,no_evidence; 0/0 evidence rows production-ready; 0 protocol.,0,No evidence records are present.,Add source and reviewer evidence before procurement readiness can start.
bom_costing,blocked,costing_not_started; critical priced 0/12; BoM total 0 GBP.,0.14,"structure_containment_wing_primary_structure_high_aspect_ratio_wing_structure: Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. energy_harvesting_solar_skin_array_solar_cell_array: Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. energy_harvesting_mppt_conversion_mppt_power_tracker: Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. energy_storage_source_stratospheric_battery_pack_stratospheric_battery_pack: Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. actuation_kinematics_electric_propulsion_pods_electric_propulsion_pod: Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. control_compute_communication_flight_control_computer_flight_control_computer: Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. control_compute_communication_ground_command_link_ground_control_link: Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. sensing_instrumentation_navigation_suite_gnss_ins_navigation_unit: Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. payload_communication_payload_radio_stratospheric_communications_payload: Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. payload_communication_antenna_aperture_payload_antenna_array: Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. environmental_interface_thermal_protection_thermal_insulation_blanket: Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. safety_protection_abort_recovery_recovery_parachute_system: Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. structure_containment_wing_primary_structure_high_aspect_ratio_wing_structure: High-aspect-ratio wing structure energy_harvesting_solar_skin_array_solar_cell_array: Solar cell array energy_harvesting_mppt_conversion_mppt_power_tracker: MPPT power tracker energy_storage_source_stratospheric_battery_pack_stratospheric_battery_pack: Stratospheric battery pack actuation_kinematics_electric_propulsion_pods_electric_propulsion_pod: Electric propulsion pod control_compute_communication_flight_control_computer_flight_control_computer: Flight control computer control_compute_communication_ground_command_link_ground_control_link: Ground control link sensing_instrumentation_navigation_suite_gnss_ins_navigation_unit: GNSS INS navigation unit payload_communication_payload_radio_stratospheric_communications_payload: Stratospheric communications payload payload_communication_antenna_aperture_payload_antenna_array: Payload antenna array environmental_interface_thermal_protection_thermal_insulation_blanket: Thermal insulation blanket safety_protection_abort_recovery_recovery_parachute_system: Recovery parachute system structure_containment_wing_primary_structure_high_aspect_ratio_wing_structure/supplier: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. structure_containment_wing_primary_structure_high_aspect_ratio_wing_structure/manufacturer: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. structure_containment_wing_primary_structure_high_aspect_ratio_wing_structure/mpn: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. structure_containment_wing_primary_structure_high_aspect_ratio_wing_structure/unit_cost_gbp: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. energy_harvesting_solar_skin_array_solar_cell_array/supplier: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. energy_harvesting_solar_skin_array_solar_cell_array/manufacturer: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. energy_harvesting_solar_skin_array_solar_cell_array/mpn: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. energy_harvesting_solar_skin_array_solar_cell_array/unit_cost_gbp: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. energy_harvesting_mppt_conversion_mppt_power_tracker/supplier: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. energy_harvesting_mppt_conversion_mppt_power_tracker/manufacturer: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. energy_harvesting_mppt_conversion_mppt_power_tracker/mpn: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. energy_harvesting_mppt_conversion_mppt_power_tracker/unit_cost_gbp: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. energy_storage_source_stratospheric_battery_pack_stratospheric_battery_pack/supplier: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. energy_storage_source_stratospheric_battery_pack_stratospheric_battery_pack/manufacturer: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. energy_storage_source_stratospheric_battery_pack_stratospheric_battery_pack/mpn: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. energy_storage_source_stratospheric_battery_pack_stratospheric_battery_pack/unit_cost_gbp: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. actuation_kinematics_electric_propulsion_pods_electric_propulsion_pod/supplier: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. actuation_kinematics_electric_propulsion_pods_electric_propulsion_pod/manufacturer: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. actuation_kinematics_electric_propulsion_pods_electric_propulsion_pod/mpn: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. actuation_kinematics_electric_propulsion_pods_electric_propulsion_pod/unit_cost_gbp: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. control_compute_communication_flight_control_computer_flight_control_computer/supplier: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. control_compute_communication_flight_control_computer_flight_control_computer/manufacturer: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. control_compute_communication_flight_control_computer_flight_control_computer/mpn: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. control_compute_communication_flight_control_computer_flight_control_computer/unit_cost_gbp: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. control_compute_communication_ground_command_link_ground_control_link/supplier: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. control_compute_communication_ground_command_link_ground_control_link/manufacturer: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. control_compute_communication_ground_command_link_ground_control_link/mpn: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. control_compute_communication_ground_command_link_ground_control_link/unit_cost_gbp: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. sensing_instrumentation_navigation_suite_gnss_ins_navigation_unit/supplier: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. sensing_instrumentation_navigation_suite_gnss_ins_navigation_unit/manufacturer: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. sensing_instrumentation_navigation_suite_gnss_ins_navigation_unit/mpn: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. sensing_instrumentation_navigation_suite_gnss_ins_navigation_unit/unit_cost_gbp: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. payload_communication_payload_radio_stratospheric_communications_payload/supplier: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. payload_communication_payload_radio_stratospheric_communications_payload/manufacturer: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. payload_communication_payload_radio_stratospheric_communications_payload/mpn: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. payload_communication_payload_radio_stratospheric_communications_payload/unit_cost_gbp: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. payload_communication_antenna_aperture_payload_antenna_array/supplier: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. payload_communication_antenna_aperture_payload_antenna_array/manufacturer: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. payload_communication_antenna_aperture_payload_antenna_array/mpn: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. payload_communication_antenna_aperture_payload_antenna_array/unit_cost_gbp: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. environmental_interface_thermal_protection_thermal_insulation_blanket/supplier: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. environmental_interface_thermal_protection_thermal_insulation_blanket/manufacturer: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. environmental_interface_thermal_protection_thermal_insulation_blanket/mpn: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. environmental_interface_thermal_protection_thermal_insulation_blanket/unit_cost_gbp: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. safety_protection_abort_recovery_recovery_parachute_system/supplier: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. safety_protection_abort_recovery_recovery_parachute_system/manufacturer: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. safety_protection_abort_recovery_recovery_parachute_system/mpn: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. safety_protection_abort_recovery_recovery_parachute_system/unit_cost_gbp: Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass. sourcing_evidence_authenticity: 0/0 sourcing evidence rows are production-ready; 0 protocol fixture, 0 review/missing metadata. source_reference_quality: 0/0 sourcing refs pass quality checks; 0 placeholder URL, 0 quote-anchored, 0 fresh timestamp. 12 critical line(s) are unpriced, so totals are incomplete.",Close costing blockers before procurement use.
prototype_procurement_policy,review,candidate_bom_authorized; display mode candidate_only; prototype procurement use allowed no.,0,,Prototype policy keeps procurement use disabled until external procurement review and approval are explicitly added.
