
                        S T E P       1


                                INCREMENT     1


 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set SOLID and time  0.1000000E+01

         1   1  1.613390E+00  1.354117E+02 -6.420642E+01 -4.678435E+00 -5.239324E-01 -1.370093E-02
         1   2 -6.685658E-01  1.301676E+02 -6.655571E+01 -4.574858E+00 -5.770443E-01 -1.480218E-02
         1   3  1.986120E+00  1.350390E+02 -6.420642E+01 -8.462835E+00 -5.227524E-01 -3.771941E-02
         1   4 -3.040870E-01  1.298031E+02 -6.655571E+01 -8.275475E+00 -5.757165E-01 -4.182933E-02
         1   5  5.799891E-02  1.345311E+02 -6.493724E+01 -4.702028E+00 -7.969634E-01 -2.711410E-02
         1   6 -2.235198E+00  1.292608E+02 -6.729775E+01 -4.597929E+00 -8.500753E-01 -2.821534E-02
         1   7  4.326093E-01  1.341565E+02 -6.493724E+01 -8.505512E+00 -7.957834E-01 -5.113258E-02
         1   8 -1.868881E+00  1.288944E+02 -6.729775E+01 -8.317208E+00 -8.487475E-01 -5.524249E-02
         2   1  1.356684E+00  1.410248E+02 -5.361049E+01 -4.883678E+00 -7.996359E-01 -2.473741E-02
         2   2 -1.036067E+00  1.356541E+02 -5.620248E+01 -4.779551E+00 -8.427493E-01 -2.563134E-02
         2   3  1.745768E+00  1.406357E+02 -5.361049E+01 -8.834102E+00 -7.982101E-01 -5.375974E-02
         2   4 -6.552785E-01  1.352733E+02 -5.620248E+01 -8.645745E+00 -8.412035E-01 -5.709595E-02
         2   5  5.478196E-02  1.402183E+02 -5.424300E+01 -4.901003E+00 -1.584573E+00 -6.329893E-02
         2   6 -2.345919E+00  1.348291E+02 -5.684292E+01 -4.796506E+00 -1.627687E+00 -6.419284E-02
         2   7  4.452470E-01  1.398279E+02 -5.424300E+01 -8.865440E+00 -1.583147E+00 -9.232126E-02
         2   8 -1.963779E+00  1.344470E+02 -5.684292E+01 -8.676415E+00 -1.626141E+00 -9.565744E-02
         3   1  1.074409E+00  1.503579E+02 -3.945115E+01 -5.219893E+00 -1.008723E+00 -3.306792E-02
         3   2 -1.461617E+00  1.447522E+02 -4.228538E+01 -5.112561E+00 -1.034623E+00 -3.360494E-02
         3   3  1.490278E+00  1.499420E+02 -3.945115E+01 -9.442283E+00 -1.007107E+00 -6.596349E-02
         3   4 -1.054299E+00  1.443449E+02 -4.228538E+01 -9.248129E+00 -1.032935E+00 -6.796770E-02
         3   5  2.282842E-01  1.497243E+02 -3.989505E+01 -5.227326E+00 -2.178097E+00 -9.051558E-02
         3   6 -2.311031E+00  1.441110E+02 -4.273257E+01 -5.119841E+00 -2.203997E+00 -9.105259E-02
         3   7  6.447458E-01  1.493078E+02 -3.989505E+01 -9.455729E+00 -2.176481E+00 -1.234112E-01
         3   8 -1.903133E+00  1.437031E+02 -4.273257E+01 -9.261298E+00 -2.202309E+00 -1.254153E-01
         4   1  8.774695E-01  1.637997E+02 -2.114635E+01 -5.696791E+00 -1.119620E+00 -3.744153E-02
         4   2 -1.821479E+00  1.578659E+02 -2.419477E+01 -5.583680E+00 -1.126344E+00 -3.758094E-02
         4   3  1.331338E+00  1.633458E+02 -2.114635E+01 -1.030494E+01 -1.117899E+00 -7.248073E-02
         4   4 -1.376622E+00  1.574210E+02 -2.419477E+01 -1.010034E+01 -1.124604E+00 -7.300106E-02
         4   5  5.485147E-01  1.633807E+02 -2.137073E+01 -5.693643E+00 -2.488585E+00 -1.046945E-01
         4   6 -2.149089E+00  1.574500E+02 -2.441781E+01 -5.580595E+00 -2.495309E+00 -1.048339E-01
         4   7  1.002133E+00  1.629271E+02 -2.137073E+01 -1.029925E+01 -2.486864E+00 -1.397337E-01
         4   8 -1.704477E+00  1.570054E+02 -2.441781E+01 -1.009476E+01 -2.493569E+00 -1.402540E-01
         5   1  8.339684E-01  1.812911E+02  1.453121E+00 -6.309922E+00 -1.121567E+00 -3.741335E-02
         5   2 -2.036066E+00  1.749572E+02 -1.764454E+00 -6.188804E+00 -1.108385E+00 -3.714004E-02
         5   3  1.336679E+00  1.807884E+02  1.453120E+00 -1.141404E+01 -1.119833E+00 -7.269957E-02
         5   4 -1.543004E+00  1.744641E+02 -1.764454E+00 -1.119495E+01 -1.106688E+00 -7.167954E-02
         5   5  1.049939E+00  1.811136E+02  1.464671E+00 -6.296165E+00 -2.483937E+00 -1.043423E-01
         5   6 -1.814412E+00  1.747929E+02 -1.747228E+00 -6.175311E+00 -2.470756E+00 -1.040690E-01
         5   7  1.551554E+00  1.806120E+02  1.464671E+00 -1.138916E+01 -2.482204E+00 -1.396285E-01
         5   8 -1.322426E+00  1.743010E+02 -1.747228E+00 -1.117054E+01 -2.469059E+00 -1.386085E-01
         6   1  9.905242E-01  2.027223E+02  2.843660E+01 -7.053818E+00 -1.013453E+00 -3.296079E-02
         6   2 -2.051944E+00  1.959322E+02  2.510170E+01 -6.922776E+00 -9.800163E-01 -3.226750E-02
         6   3  1.552510E+00  2.021603E+02  2.843661E+01 -1.275968E+01 -1.011804E+00 -6.653368E-02
         6   4 -1.500398E+00  1.953806E+02  2.510171E+01 -1.252264E+01 -9.784600E-01 -6.394626E-02
         6   5  1.768289E+00  2.028076E+02  2.869553E+01 -7.029606E+00 -2.163083E+00 -8.943847E-02
         6   6 -1.264498E+00  1.960400E+02  2.537030E+01 -6.899014E+00 -2.129646E+00 -8.874517E-02
         6   7  2.328346E+00  2.022475E+02  2.869553E+01 -1.271588E+01 -2.161433E+00 -1.230114E-01
         6   8 -7.148462E-01  1.954904E+02  2.537030E+01 -1.247965E+01 -2.128090E+00 -1.204239E-01
         7   1  1.372552E+00  2.267340E+02  5.861588E+01 -7.880062E+00 -8.085445E-01 -2.472129E-02
         7   2 -1.827832E+00  2.194775E+02  5.522234E+01 -7.738235E+00 -7.575277E-01 -2.366348E-02
         7   3  2.000362E+00  2.261062E+02  5.861588E+01 -1.425427E+01 -8.070743E-01 -5.464895E-02
         7   4 -1.211322E+00  2.188610E+02  5.522234E+01 -1.399772E+01 -7.561995E-01 -5.070114E-02
         7   5  2.645993E+00  2.270662E+02  5.909757E+01 -7.847150E+00 -1.574158E+00 -6.233344E-02
         7   6 -5.416423E-01  2.198394E+02  5.571676E+01 -7.705915E+00 -1.523141E+00 -6.127564E-02
         7   7  3.271181E+00  2.264410E+02  5.909757E+01 -1.419474E+01 -1.572688E+00 -9.226110E-02
         7   8  7.229317E-02  2.192255E+02  5.571676E+01 -1.393926E+01 -1.521813E+00 -8.831331E-02
         8   1  1.579787E+00  2.338713E+02  7.250398E+01 -8.122381E+00 -5.371618E-01 -1.398132E-02
         8   2 -1.524258E+00  2.267128E+02  6.933356E+01 -7.980613E+00 -4.781228E-01 -1.275718E-02
